Article,Point,Content
Art. 118,2,"Zawiadomienie, o którym mowa w ust. 1, Marszałek Sejmu kieruje niezwłocznie do Komisji Spraw Zagranicznych celem zajęcia stanowiska co do zasadności wybranego przez Radę Ministrów trybu ratyfikacji umowy międzynarodowej, określając zarazem termin przedłożenia przez Komisję sprawozdania."
Art. 119,1,"Poseł ma prawo zgłosić Komisji Spraw Zagranicznych, w terminie określonym przez Marszałka Sejmu, pisemne zastrzeżenie co do zasadności wybranego przez Radę Ministrów trybu ratyfikacji umowy międzynarodowej. Zastrzeżenie składa się wraz z pisemnym uzasadnieniem."
Art. 119,2,"O terminie i miejscu posiedzenia Komisji poświęconego rozpatrzeniu zawiadomienia, o którym mowa w art. 118, zawiadamia się wszystkich posłów, którzy zgłosili zastrzeżenia."
Art. 119,3,"Po rozpatrzeniu zawiadomienia oraz zastrzeżeń, o których mowa w ust. 1, Komisja Spraw Zagranicznych przedstawia sprawozdanie, które zawiera wniosek o:"
Art. 119,1,przyjęcie zawiadomienia Prezesa Rady Ministrów bez zastrzeżeń albo
Art. 119,2,wyrażenie przez Sejm negatywnej opinii co do zasadności wybranego przez Radę Ministrów trybu ratyfikacji umowy międzynarodowej.
Art. 119,4,"W wypadku, o którym mowa w ust. 3 pkt 2, Komisja przedstawia równocześnie projekt odpowiedniej uchwały Sejmu."
Art. 119,5,"Zastrzeżenie, o którym mowa w ust. 1, odrzucone przez Komisję, na wniosek składającego zastrzeżenie zamieszcza się w sprawozdaniu Komisji jako wniosek mniejszości. W takim wypadku zastrzeżenie to musi być sformułowane w postaci odpowiedniego projektu uchwały Sejmu."
Art. 120,1,"W wypadkach, o których mowa w art. 119 ust. 3 pkt 2 lub ust. 5, Marszałek Sejmu wprowadza sprawę wybranego przez Radę Ministrów trybu ratyfikacji umowy międzynarodowej do porządku dziennego posiedzenia Sejmu najbliższego po przedłożeniu sprawozdania Komisji. Przepisy art. 43 ust. 5-7 stosuje się odpowiednio. Przepisy art. 37 ust. 4 i art. 44 ust. 3 nie mają zastosowania."
Art. 120,2,Uchwałę Sejmu wyrażającą negatywną opinię o wybranym przez Radę Ministrów trybie ratyfikacji umowy międzynarodowej Marszałek Sejmu przekazuje niezwłocznie Prezesowi Rady Ministrów i Prezydentowi.
Art. 120,3,"W razie niepodjęcia przez Sejm uchwały wyrażającej negatywną opinię co do zasadności wybranego przez Radę Ministrów trybu ratyfikacji umowy międzynarodowej uznaje się, że Sejm przyjął zawiadomienie, o którym mowa w art. 118, bez zastrzeżeń."
Art. 120,4,"W wypadku, o którym mowa w art. 119 ust. 3 pkt 1, jeżeli sprawozdanie Komisji nie zawiera wniosków mniejszości, Marszałek Sejmu informuje Sejm na najbliższym posiedzeniu o braku zastrzeżeń co do zasadności wybranego przez Radę Ministrów trybu ratyfikacji umowy międzynarodowej."
Art. 121,1,"W postępowaniu przed Trybunałem Konstytucyjnym w sprawie stwierdzenia zgodności ustawy z przepisami konstytucyjnymi Sejm jest reprezentowany przez przedstawiciela, którego wyznacza Marszałek Sejmu spośród posłów."
Art. 121,2,Komisja Ustawodawcza przed terminem rozprawy wydaje opinię o zawartych we wniosku o rozpatrzenie sprawy przez Trybunał Konstytucyjny zarzutach co do niezgodności ustawy z przepisami konstytucyjnymi. Poseł wyznaczony na przedstawiciela Sejmu ma obowiązek uczestniczyć w posiedzeniu Komisji.
Art. 122,,Orzeczenia Trybunału Konstytucyjnego stwierdzające niezgodność z przepisami konstytucyjnymi aktu ustawodawczego oraz informacje o istotnych problemach wynikających z jego działalności i orzecznictwa Prezes Trybunału Konstytucyjnego przekazuje Prezydium Sejmu.
Art. 124,1,Sejm zapoznaje się z:
Art. 124,1,"informacją Trybunału Konstytucyjnego o istotnych problemach wynikających z jego działalności i orzecznictwa oraz z uwagami Trybunału Konstytucyjnego o stwierdzonych uchybieniach i lukach w prawie, których usunięcie jest niezbędne dla zapewnienia spójności systemu prawnego Rzeczypospolitej Polskiej,"
Art. 124,2,"coroczną informacją Pierwszego Prezesa Sądu Najwyższego o działalności Sądu Najwyższego oraz o wynikających z niej istotnych problemach,"
Art. 124,3,"informacją Krajowej Rady Sądownictwa z jej rocznej działalności oraz z postulatami co do aktualnych problemów i potrzeb wymiaru sprawiedliwości,"
Art. 124,4,"coroczną informacją Rzecznika Praw Obywatelskich o jego działalności oraz o stanie przestrzegania wolności i praw człowieka i obywatela,"
Art. 124,5,"coroczną informacją Rzecznika Praw Dziecka o jego działalności oraz z uwagami o stanie przestrzegania praw dziecka,"
Art. 124,6,rocznym sprawozdaniem Prezesa Narodowego Banku Polskiego z działalności Narodowego Banku Polskiego.
Art. 124,2,"Informacje, sprawozdania, uwagi i postulaty, o których mowa w ust. 1, doręcza się posłom."
Art. 124,3,"Zapoznanie się przez Sejm z informacjami, sprawozdaniami, uwagami i postulatami, o których mowa w ust. 1, nie może nastąpić później niż w terminie 3 miesięcy od dnia ich doręczenia posłom."
Art. 125 45),1,Sejm rozpatruje:
Art. 125 45),1,przedstawione przez Krajową Radę Radiofonii i Telewizji sprawozdanie z jej działalności oraz informację o podstawowych problemach radiofonii i telewizji;
Art. 125 45),2,przedstawioną przez Radę Mediów Narodowych informację o jej działalności.
Art. 125 45),2,"Sprawozdanie i informacje, o których mowa w ust. 1, doręcza się posłom."
Art. 125 45),3,"Rozpatrzenie sprawozdania i informacji, o których mowa w ust. 1, nie może nastąpić później niż w terminie 3 miesięcy od dnia ich doręczenia posłom."
Art. 125 45),4,"Sprawozdanie i informacje, o których mowa w ust. 1, przesyła się do komisji, która po ich rozpatrzeniu przedstawia Sejmowi:"
Art. 125 45),1,"projekt uchwały o przyjęciu lub odrzuceniu sprawozdania, o którym mowa w ust. 1 pkt 1;"
Art. 125 45),2,"projekt uchwały o przyjęciu lub odrzuceniu informacji, o której mowa w ust. 1 pkt 2."
Art. 125 45),5,Sejm podejmuje:
Art. 125 45),1,"uchwałę o przyjęciu lub odrzuceniu sprawozdania, o którym mowa w ust. 1 pkt 1;"
Art. 125 45),2,"uchwałę o przyjęciu lub odrzuceniu informacji, o której mowa w ust. 1 pkt 2."
Art. 125 45),6,"Uchwały, o których mowa w ust. 5, mogą zawierać uwagi i zastrzeżenia."
Art. 125 45),7,"Uchwałę, o której mowa w ust. 5 pkt 2, Marszałek Sejmu przesyła Przewodniczącemu Rady Mediów Narodowych."
Art. 125 45),8,"Sejm rozstrzyga o sposobie wykorzystania wniosków wynikających ze sprawozdania i z informacji, o których mowa w ust. 1, a w razie potrzeby kieruje te wnioski do właściwych komisji."
Art. 125a,1,Sejm rozpatruje informację Rady Ministrów o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej.
Art. 125a,1, Informacja zawiera w szczególności plan prac nad projektami ustaw wykonujących prawo Unii Europejskiej określający terminy ich wniesienia do Sejmu.
Art. 125a,2,Informację doręcza się posłom.
Art. 125a,3,"Informację przesyła się do Komisji do Spraw Unii Europejskiej, która po jej rozpatrzeniu przedstawia Sejmowi projekt uchwały o jej przyjęciu lub odrzuceniu."
Art. 125a,4,Sejm podejmuje uchwałę o przyjęciu lub odrzuceniu informacji Rady Ministrów. Uchwała Sejmu może zawierać ocenę informacji Rady Ministrów.
Art. 126,1,Przedkładane Sejmowi przez Najwyższą Izbę Kontroli:
Art. 126,1,"uwagi do sprawozdania Rady Ministrów z wykonania ustawy budżetowej i innych planów finansowych państwa,"
Art. 126,2,"sprawozdania z wyników kontroli zleconych przez Sejm i jego organy (Marszałka Sejmu, Prezydium Sejmu, komisje sejmowe) oraz przeprowadzonych na wniosek Prezydenta i Prezesa Rady Ministrów, a także informacje o wynikach innych kontroli,"
Art. 126,2," analizy wykorzystania wynikających z kontroli wniosków dotyczących stanowienia lub stosowania prawa,"
Art. 126,3,wnioski w sprawie rozpatrzenia przez Sejm lub jego organy określonych problemów społeczno-gospodarczych i organizacyjno-prawnych związanych z działalnością organów administracji państwowej
Art. 126,,- Prezes Najwyższej Izby Kontroli przedstawia Prezydium Sejmu.
Art. 126,2,"Prezydium Sejmu, po zasięgnięciu opinii Komisji do Spraw Kontroli Państwowej, rozpatruje wnioski, o których mowa w ust. 1 pkt 3, i decyduje o nadaniu im dalszego biegu, a także rozpatruje przedkładany przez Prezesa Najwyższej Izby Kontroli roczny plan pracy Najwyższej Izby Kontroli."
Art. 126,3,"Uwagi, sprawozdania, informacje i analizy określone w ust. 1 pkt 1-2a Marszałek Sejmu kieruje do Komisji do Spraw Kontroli Państwowej i do właściwych komisji sejmowych."
Art. 126,4,Przedkładane przez Prezesa Najwyższej Izby Kontroli coroczne sprawozdanie z działalności Najwyższej Izby Kontroli rozpatruje Sejm; przed rozpatrzeniem tego sprawozdania Prezydium Sejmu przesyła je do zaopiniowania Komisji do Spraw Kontroli Państwowej oraz może przesłać je do ustosunkowania się właściwym komisjom sejmowym.
Art. 126,5,"Rozpatrzenie przez Sejm sprawozdania, o którym mowa w ust. 4, nie może nastąpić później niż w terminie 3 miesięcy od dnia jego doręczenia posłom."
Art. 126,6,"Sprawozdanie z przeprowadzonego audytu zewnętrznego w zakresie wykonania budżetu oraz gospodarki finansowej Najwyższej Izby Kontroli wraz ze stanowiskiem Prezesa Najwyższej Izby Kontroli, Marszałek Sejmu przesyła do Komisji do Spraw Kontroli Państwowej."
Art. 126a,1,"Sejm może rozpatrzyć informacje, sprawozdania i raporty z działalności instytucji i organów władzy państwowej inne niż te, o których mowa w art. 124-126, przedkładane na podstawie odrębnych przepisów."
Art. 126a,2,"Informacje, sprawozdania i raporty, o których mowa w ust. 1, doręcza się posłom."
Art. 126aa 46),,"W przypadku gdy informacje, sprawozdania lub raporty, o których mowa w art. 126a ust. 1, dotyczą czynności operacyjno-rozpoznawczych lub czynności i działań profilaktycznych podejmowanych przez instytucje i organy władzy państwowej, Marszałek Sejmu kieruje je do Komisji do Spraw Służb Specjalnych. Przepisu art. 126a ust. 2 nie stosuje się."
Art. 126b,1,"Petycję złożoną do Sejmu Marszałek Sejmu kieruje do Komisji do Spraw Petycji, zwanej dalej w niniejszym rozdziale ""Komisją"", w celu rozpatrzenia."
Art. 126b,2,"Marszałek Sejmu, w trybie i na zasadach określonych w ustawie z dnia 11 lipca 2014 r. o petycjach (Dz. U. z 2018 r. poz. 870), może zarządzić łączne rozpatrywanie petycji."
Art. 126b,3,"W przypadku gdy petycja nie spełnia wymogów określonych w art. 2 lub art. 4 ustawy z dnia 11 lipca 2014 r. o petycjach, Marszałek Sejmu, w trybie i na zasadach określonych w tej ustawie, pozostawia petycję bez rozpoznania albo wzywa podmiot wnoszący petycję do uzupełnienia lub wyjaśnienia treści petycji."
Art. 126b,4,"Marszałek Sejmu, biorąc pod uwagę terminy określone w przepisach ustawy z dnia 11 lipca 2014 r. o petycjach, wyznacza Komisji termin rozpatrzenia petycji."
Art. 126c,1,"Rozpatrzenie petycji obejmuje przedstawienie petycji przez posła wyznaczonego przez prezydium Komisji, dyskusję oraz rozstrzygnięcie w sprawie sposobu załatwienia petycji."
Art. 126c,2,Komisja może zwrócić się do innych komisji sejmowych o wyrażenie opinii o rozpatrywanej petycji.
Art. 126c,3,Sposobem załatwienia petycji może być w szczególności:
Art. 126c,1,"wniesienie przez Komisję projektu ustawy lub uchwały,"
Art. 126c,2,"wniesienie przez Komisję poprawki lub wniosku do projektu ustawy lub uchwały w czasie jego rozpatrywania przez inną komisję sejmową lub w czasie jego drugiego czytania,"
Art. 126c,3,"przedstawienie przez Komisję innej komisji sejmowej opinii w sprawie rozpatrywanego przez nią projektu ustawy lub uchwały,"
Art. 126c,4,"wystąpienie przez Komisję z wnioskiem, o którym mowa w art. 162a ust. 1,"
Art. 126c,5,nieuwzględnienie przez Komisję żądania będącego przedmiotem petycji.
Art. 126c,4,"W przypadku, o którym mowa w ust. 3 pkt 2, Komisja wskazuje swego przedstawiciela upoważnionego do wniesienia poprawki lub wniosku."
Art. 126d,,"Komisja przekazuje Marszałkowi Sejmu informację o sposobie załatwienia petycji albo o zaistnieniu okoliczności, o których mowa w art. 12 ust. 1 ustawy z dnia 11 lipca 2014 r. o petycjach, wraz z uzasadnieniem."
Art. 126e,,"Marszałek Sejmu zawiadamia podmiot wnoszący petycję o sposobie jej załatwienia, a w przypadku, o którym mowa w art. 12 ust. 1 ustawy z dnia 11 lipca 2014 r. o petycjach - o poprzednim sposobie jej załatwienia, wraz z uzasadnieniem."
Art. 126f,,"Informacje, o których mowa w art. 8 i art. 14 ustawy z dnia 11 lipca 2014 r. o petycjach, podlegają udostępnieniu w Systemie Informacyjnym Sejmu."
Art. 126g,,W przypadku gdy postępowanie w sprawie petycji nie zostanie zakończone przed upływem kadencji Sejmu jest ono prowadzone przez Komisję w następnej kadencji Sejmu.
Art. 127,,Komisja Odpowiedzialności Konstytucyjnej rozpatruje wstępne wnioski o pociągnięcie do odpowiedzialności przed Trybunałem Stanu.
Art. 128,1,(uchylony).
Art. 128,2,"Komisja, po wstępnym zapoznaniu się ze zgłoszonymi zarzutami oraz wyjaśnieniami i wnioskami osoby objętej zarzutami, określa zakres i sposób przeprowadzenia postępowania dowodowego."
Art. 128,3,"Osoba objęta wstępnym wnioskiem oraz jej obrońca mogą brać udział w posiedzeniach Komisji, na których przeprowadza się postępowanie dowodowe, oraz w czynnościach podejmowanych z upoważnienia Komisji."
Art. 129,1,Komisja Odpowiedzialności Konstytucyjnej wraz ze sprawozdaniem przedstawia Sejmowi wnioski w sprawie wyboru przez Sejm oskarżycieli.
Art. 129,2,"Komisja Odpowiedzialności Konstytucyjnej w przypadku, o którym mowa w art. 13a ustawy z dnia 26 marca 1982 r. o Trybunale Stanu (Dz. U. z 2016 r. poz. 2050 oraz z 2019 r. poz. 125), przedstawia Sejmowi wniosek w sprawie wyboru przez Sejm oskarżyciela."
Art. 130a,,Wnioski w sprawie wyrażenia zgody na pociągnięcie do odpowiedzialności za przestępstwo lub wykroczenie albo aresztowanie bądź zatrzymanie osób pełniących funkcję:
Art. 130a,1,"Rzecznika Praw Obywatelskich,"
Art. 130a,2,"Prezesa Najwyższej Izby Kontroli,"
Art. 130a,3,"Rzecznika Praw Dziecka,"
Art. 130a,4,"49) Prezesa Urzędu Ochrony Danych Osobowych,"
Art. 130a,5,Prezesa Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu
Art. 130a,,"- rozpatruje Komisja Regulaminowa, Spraw Poselskich i Immunitetowych."
Art. 130b,,"O terminie rozpatrzenia wniosku w sprawach, o których mowa w art. 130a, niezwłocznie zawiadamia się osobę, której dotyczy wniosek. Do zawiadamiania stosuje się odpowiednio przepisy ustawy z dnia 6 czerwca 1997 r. - Kodeks postępowania karnego (Dz. U. z 2018 r. poz. 1987 i 2399 oraz z 2019 r. poz. 150, 679, 1255 i 1694) dotyczące doręczania pism przeznaczonych dla uczestników postępowania."
Art. 130c,,"W posiedzeniach Komisji Regulaminowej, Spraw Poselskich i Immunitetowych, na których rozpatrywane są sprawy, o których mowa w art. 130a, może uczestniczyć osoba, której dotyczy wniosek lub może uczestniczyć jej pełnomocnik, o ile został ustanowiony."
Art. 130d,,"Sprawozdanie Komisji Regulaminowej, Spraw Poselskich i Immunitetowych w sprawach, o których mowa w art. 130a, doręcza się niezwłocznie posłom."
Art. 130e,,"Sejm rozpatruje sprawozdanie, o którym mowa w art. 130d, wysłuchując jedynie sprawozdawcy. Prawo do zabrania głosu przysługuje również osobie, której dotyczy wniosek. Nad sprawozdaniem tym nie przeprowadza się dyskusji."
Art. 131,1,"1) Sprawy posłów, którym zarzuca się naruszenie lub niedopełnienie obowiązków określonych w art. 33-35 ustawy o wykonywaniu mandatu posła i senatora, Prezydium Sejmu kieruje do rozpatrzenia przez Komisję Regulaminową, Spraw Poselskich i Immunitetowych."
Art. 131,2,"Po rozpatrzeniu sprawy Komisja przedstawia Prezydium Sejmu sprawozdanie zawierające opinię w sprawie oraz ewentualnie projekt uchwały, o której mowa w art. 21, albo wniosek o umorzenie postępowania w sprawie zarzutów."
Art. 131,3,"W posiedzeniu Komisji, na którym następuje rozpatrzenie zarzutów, ma prawo brać udział poseł, którego zarzuty dotyczą; ma on też prawo do zabierania głosu poza kolejnością."
Art. 132,1,"1) Sprawy posłów, w stosunku do których przedstawia się zarzut, że nie wykonują obowiązków poselskich, Prezydium Sejmu kieruje do rozpatrzenia przez Komisję Regulaminową, Spraw Poselskich i Immunitetowych."
Art. 132,2,"Odwołanie od uchwały Komisji składa się za pośrednictwem przewodniczącego Komisji, który przedstawia je Prezydium Sejmu, dołączając materiały z posiedzenia (posiedzeń) Komisji w tej sprawie. Prezydium Sejmu może ponadto zasięgnąć opinii klubu albo koła, którego poseł jest członkiem."
Art. 133,1,"1) Komisja Regulaminowa, Spraw Poselskich i Immunitetowych rozpatruje przekazane przez Marszałka Sejmu wnioski w sprawie wyrażenia zgody na pociągnięcie posła do odpowiedzialności za przestępstwo lub wykroczenie albo aresztowanie bądź zatrzymanie."
Art. 133,1," W głosowaniu na posiedzeniu Komisji nad sprawozdaniem Komisji nie bierze udziału członek Komisji, którego dotyczy wniosek."
Art. 133,3,(uchylony).
Art. 133,4,(uchylony).
Art. 133,5,Sprawozdanie Komisji doręcza się niezwłocznie posłom.
Art. 133,6,"Sejm rozpatruje sprawozdanie Komisji wysłuchując jedynie sprawozdawcy. Prawo do zabrania głosu przysługuje również posłowi, którego wniosek dotyczy. Nad sprawozdaniem tym nie przeprowadza się dyskusji."
Art. 133,7,(uchylony).
Art. 133,8,(uchylony).
Art. 133,9,(uchylony).
Art. 134 1),,"W wypadku zgłoszenia przez uprawniony organ wniosku w sprawie wyrażenia zgody na pociągnięcie do odpowiedzialności karnej posła - członka Komisji do Spraw Służb Specjalnych za przestępstwo ujawnienia lub wykorzystania informacji niejawnej, Prezydium Sejmu wykonuje w stosunku do niego zadania Komisji Regulaminowej, Spraw Poselskich i Immunitetowych, o których mowa w art. 133."
Art. 135,,"Przepisy art. 134 stosuje się odpowiednio do posła - członka Komisji Etyki Poselskiej w przypadku naruszenia przepisów o ochronie informacji niejawnej o klauzuli tajności ""zastrzeżone"" lub poufne""."
Art. 136,,"W sprawach, o których mowa w art. 132-135, poseł może ustanowić swojego obrońcę spośród posłów."
Art. 136a,1,Projekt uchwały w sprawie powołania komisji śledczej może być wniesiony przez Prezydium Sejmu lub co najmniej 46 posłów.
Art. 136a,2,Do projektu dołącza się uzasadnienie wskazujące potrzebę i cel powołania komisji.
Art. 136b,1,"Pierwsze czytanie projektu uchwały, o której mowa w art. 136a ust. 1, przeprowadza się na posiedzeniu Sejmu."
Art. 136b,2,Projekt uchwały kieruje się do Komisji Ustawodawczej w celu rozpatrzenia; Sejm może skierować projekt uchwały także do innych komisji.
Art. 136c,1,Po powołaniu komisji śledczej Sejm wybiera jej skład osobowy.
Art. 136c,2,Kandydaci na członków komisji śledczej zgłaszani są Marszałkowi Sejmu przez przewodniczących klubów i kół wchodzących w skład Konwentu Seniorów.
Art. 136c,3,Kandydatów zgłasza się w liczbie określonej przez Prezydium Sejmu wynikającej z zastosowania przepisu art. 2 ust. 2 ustawy o sejmowej komisji śledczej; o liczbie tej Prezydium Sejmu informuje uprawnione podmioty.
Art. 136c,4,Kandydatów zgłasza się w terminie określonym przez Prezydium Sejmu.
Art. 136c,5,"Po upływie terminu, o którym mowa w ust. 4, Prezydium Sejmu doręcza listę zgłoszonych kandydatów posłom."
Art. 136c,6,"W terminie określonym przez Prezydium Sejmu i podanym do wiadomości posłów wraz z doręczeniem listy, o której mowa w ust. 5, każdy poseł może na podstawie art. 4a ustawy o sejmowej komisji śledczej złożyć wniosek do Prezydium Sejmu o dokonanie skreślenia kandydującego posła z listy kandydatów."
Art. 136c,7,"Jeżeli Prezydium Sejmu w związku z zaistnieniem okoliczności, o której mowa w art. 4 ustawy o sejmowej komisji śledczej, stwierdzi, że poseł kandydujący do komisji, co do którego złożono wniosek, o którym mowa w ust. 6, nie może wchodzić w jej skład, podejmuje uchwałę o skreśleniu go z listy kandydatów."
Art. 136c,8,"Informację o uchwale, o której mowa w ust. 7, jak również o uchwale o odrzuceniu wniosku, o którym mowa w ust. 6, podaje się posłom do wiadomości."
Art. 136c,9,W przypadku podjęcia uchwały o skreśleniu posła z listy kandydatów Prezydium Sejmu wyznacza uprawnionemu podmiotowi termin na zgłoszenie następnego kandydata. Do zgłoszenia tego kandydata przepisy ust. 5-8 oraz 10 i 11 stosuje się odpowiednio.
Art. 136c,10,"W razie niezgłoszenia w terminie, o którym mowa w ust. 4, kandydata lub zgłoszenia kandydatów w liczbie innej niż określona przez Prezydium Sejmu, miejsca przypadające danemu klubowi lub kołu przydzielane są innym uprawnionym podmiotom. Przy ponownym obliczeniu proporcjonalnego składu komisji nie bierze się pod uwagę klubu lub koła, które nie zgłosiły kandydatów lub zgłosiły ich w liczbie innej niż im przypadająca."
Art. 136c,11,"Po ustaleniu, w związku z ust. 10, nowej liczby miejsc przypadających uprawnionym podmiotom Prezydium Sejmu wyznacza tym podmiotom termin na zgłoszenie dodatkowych kandydatów. Przepisy ust. 2-10 stosuje się odpowiednio."
Art. 136c,12,"W trybie określonym w ust. 2-11 Sejm dokonuje wyboru uzupełniającego, o którym mowa w art. 5a ustawy o sejmowej komisji śledczej."
Art. 136d,,O terminie i porządku dziennym posiedzenia komisji śledczej zawiadamia się członków komisji oraz Prezydium Sejmu; do zasad i trybu tego zawiadomienia stosuje się odpowiednio przepisy art. 152 ust. 5.
Art. 136e,,"Komisji śledczej nie przysługuje inicjatywa ustawodawcza i uchwałodawcza, w rozumieniu przepisów art. 32 i 33."
Art. 136f,,"Jeżeli komisja śledcza wystąpi ze wstępnym wnioskiem o pociągnięcie określonej osoby do odpowiedzialności konstytucyjnej przed Trybunałem Stanu, komisję reprezentuje w tej sprawie, w dalszym postępowaniu przed organami Sejmu, poseł wybrany spośród członków komisji śledczej."
Art. 136g,1,Komisja przekazuje Marszałkowi Sejmu sprawozdanie ze swojej działalności.
Art. 136g,2,Marszałek Sejmu zarządza drukowanie i doręczenie posłom sprawozdania komisji śledczej.
Art. 136h,,"Jeżeli w sprawozdaniu komisji śledczej znajdują się wiadomości stanowiące tajemnicę prawnie chronioną, Marszałek Sejmu określa tryb jego udostępnienia posłom oraz sposób rozpatrywania go przez Sejm."
Art. 136i,,"Z uwzględnieniem zmian wynikających z przepisów niniejszego rozdziału, do komisji śledczej i posłów wybranych do komisji stosuje się odpowiednio przepisy regulaminu Sejmu."
Art. 137,1,50) W skład Komisji do Spraw Służb Specjalnych wchodzi nie więcej niż 7 posłów.
Art. 137,2,"Sejm, na wniosek Prezydium Sejmu, w drodze uchwały, ustala liczbę członków Komisji do Spraw Służb Specjalnych."
Art. 137,3,Zgłoszenia kandydatów na członków Komisji dokonują przewodniczący klubów poselskich lub grupy co najmniej 35 posłów. Zgłoszenie składa się Marszałkowi Sejmu.
Art. 137,4,"Sejm, na wniosek Prezydium Sejmu zgłoszony po zasięgnięciu opinii Konwentu Seniorów, wybiera skład osobowy Komisji w głosowaniu łącznym."
Art. 138,1,Pierwsze posiedzenie Komisji do Spraw Służb Specjalnych zwołuje i prowadzi Marszałek Sejmu. Na posiedzeniu tym Komisja wybiera ze swego grona prezydium komisji w składzie: przewodniczący i do dwóch zastępców.
Art. 138,1, (uchylony)51).
Art. 138,2,Uchwały Komisji zapadają bezwzględną większością głosów w obecności co najmniej połowy liczby członków Komisji.
Art. 138,4,"Dostęp członków Komisji do informacji niejawnych o klauzuli tajności ""tajne"" lub ""ściśle tajne"" określają przepisy ustawy z dnia 5 sierpnia 2010 r. o ochronie informacji niejawnych (Dz. U. z 2019 r. poz. 742)."
Art. 139,1,Posiedzenia Komisji do Spraw Służb Specjalnych są zamknięte. Przepisu art. 154 ust. 1 nie stosuje się.
Art. 139,2,Posiedzenia wspólne odbywane z innymi komisjami mogą być jawne.
Art. 139,3,"Przewodniczący Komisji zaprasza osoby inne niż określone w art. 153 ust. 1 do wzięcia udziału w pracach Komisji za pośrednictwem albo po powiadomieniu Marszałka Sejmu oraz w razie potrzeby Prezesa Rady Ministrów, Ministra Obrony Narodowej, ministra właściwego do spraw wewnętrznych, Szefa Agencji Bezpieczeństwa Wewnętrznego, Szefa Agencji Wywiadu, Szefa Służby Kontrwywiadu Wojskowego, Szefa Służby Wywiadu Wojskowego, Szefa Centralnego Biura Antykorupcyjnego oraz ministra powołanego w celu sprawowania nadzoru nad działalnością służb specjalnych."
Art. 140,,"Komisja uczestniczy, w sprawach dotyczących służb specjalnych, w postępowaniu z projektami ustaw budżetowych i innymi planami finansowymi państwa oraz w rozpatrywaniu sprawozdań z ich wykonania, przedstawiając opinię właściwym komisjom."
Art. 141,1,Przewodniczący Komisji przyznaje klauzulę tajności dokumentom zawierającym informacje niejawne wytworzonym w wyniku działalności Komisji.
Art. 141,3,"Komisja może ustalić dla prasy, radia i telewizji komunikat z posiedzenia Komisji, w miarę potrzeby konsultując jego treść z Ministrem Obrony Narodowej, ministrem właściwym do spraw wewnętrznych, Szefem Agencji Bezpieczeństwa Wewnętrznego, Szefem Agencji Wywiadu, Szefem Służby Kontrwywiadu Wojskowego, Szefem Służby Wywiadu Wojskowego, Szefem Centralnego Biura Antykorupcyjnego lub ministrem powołanym w celu sprawowania nadzoru nad działalnością służb specjalnych."
Art. 141a,1,"Komisja do Spraw Służb Specjalnych uchwala projekt regulaminu Komisji określającego szczegółowy tryb działania i pracy Komisji oraz podejmowania przez nią rozstrzygnięć, w szczególności zasady sprawowania funkcji przewodniczącego Komisji i jego zastępcy."
Art. 141a,2,Projekt regulaminu Komisji podlega zatwierdzeniu przez Marszałka Sejmu. Marszałek Sejmu zatwierdza albo odmawia zatwierdzenia projektu w całości.
Art. 141a,3,Komisja uchwala zatwierdzony projekt regulaminu Komisji.
Art. 141a,4,Regulamin Komisji podlega udostępnieniu w Systemie Informacyjnym Sejmu.
Art. 141a,5,Do zmian regulaminu Komisji stosuje się przepisy ust. 1-4.
Art. 142,1,"Z uwzględnieniem zmian wynikających z przepisów niniejszego rozdziału, do Komisji do Spraw Służb Specjalnych i posłów do niej wybranych stosuje się odpowiednio przepisy Regulaminu Sejmu."
Art. 142,2,"Służbami specjalnymi w rozumieniu niniejszego Regulaminu są: Agencja Bezpieczeństwa Wewnętrznego, Agencja Wywiadu, Służba Kontrwywiadu Wojskowego, Służba Wywiadu Wojskowego oraz Centralne Biuro Antykorupcyjne."
Art. 143,1,"W skład Komisji Etyki Poselskiej wchodzą posłowie reprezentujący wszystkie kluby poselskie po jednym członku z każdego klubu, z zastrzeżeniem ust. 12."
Art. 143,2,Kandydatów na członków Komisji zgłaszają przewodniczący klubów.
Art. 143,3,Na kandydata na członka Komisji proponuje się osobę o nieposzlakowanej opinii i wysokim autorytecie moralnym.
Art. 143,4,Kandydat na członka Komisji lub członek Komisji może wnieść do Marszałka Sejmu umotywowane zastrzeżenie dotyczące członkostwa w Komisji innego kandydata. Zastrzeżenie takie wstrzymuje dokonanie wyboru Komisji przez Sejm.
Art. 143,5,"Kandydat, w stosunku do którego wniesiono zastrzeżenie, lub klub poselski zgłaszający tego kandydata, w terminie 7 dni od dnia przekazania zastrzeżenia, może złożyć do Marszałka Sejmu wyjaśnienie w sprawie wniesionego zastrzeżenia."
Art. 143,6,"Prezydium Sejmu po zapoznaniu się z zastrzeżeniem i wyjaśnieniem, w drodze uchwały, może uznać zastrzeżenie:"
Art. 143,1,"za zasadne,"
Art. 143,2,za niezasadne.
Art. 143,7,"W przypadku, o którym mowa w ust. 6 pkt 1, Prezydium Sejmu zwraca się do uprawnionych o niezwłoczne zgłoszenie nowej kandydatury na członka Komisji."
